2014-03-11T22:49:32+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/index/articles/cat/undefined
2014-03-11T22:49:37+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/index/articles?year=2014&month=1
2014-03-11T22:50:15+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/index/articles?year=2014&month=1
2014-03-11T22:50:18+01:00 INFO (6): 12320768 (bytes), 12032 (ko), 11.865877712032 (mo) => /bdemiage/index/articles
2014-03-11T22:50:27+01:00 INFO (6): 12320768 (bytes), 12032 (ko), 11.865877712032 (mo) => /bdemiage/index/articles
2014-03-11T22:50:29+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/index/articles/c/3/o/3
2014-03-11T22:50:33+01:00 INFO (6): 12845056 (bytes), 12544 (ko), 12.370808678501 (mo) => /bdemiage/
2014-03-11T22:51:06+01:00 INFO (6): 12845056 (bytes), 12544 (ko), 12.370808678501 (mo) => /bdemiage/
2014-03-11T22:51:11+01:00 INFO (6): 12845056 (bytes), 12544 (ko), 12.370808678501 (mo) => /bdemiage/
2014-03-11T22:51:11+01:00 INFO (6): 12320768 (bytes), 12032 (ko), 11.865877712032 (mo) => /bdemiage/
2014-03-11T22:51:17+01:00 INFO (6): 12845056 (bytes), 12544 (ko), 12.370808678501 (mo) => /bdemiage/admin/auth/login
2014-03-11T22:51:23+01:00 INFO (6): 12845056 (bytes), 12544 (ko), 12.370808678501 (mo) => /bdemiage/
2014-03-11T22:53:50+01:00 INFO (6): 12845056 (bytes), 12544 (ko), 12.370808678501 (mo) => /bdemiage/
2014-03-11T23:10:24+01:00 INFO (6): 12845056 (bytes), 12544 (ko), 12.370808678501 (mo) => /bdemiage/
2014-03-11T23:10:29+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
